,RSI
1915,61.69
1916,62.28
1917,55.47
1918,60.94
1919,59.92
1920,58.96
1921,62.38
1922,52.37
1923,49.56
1924,40.99
1925,50.15
1926,61.85
1927,54.36
1928,66.96
1929,63.97
1930,52.32
1931,56.51
1932,62.23
1933,69.39
1934,49.57
1935,42.22
1936,52.63
1937,40.35
1938,42.98
1939,37.86
1940,43.7
1941,44.25
1942,49.22
1943,50.23
1944,53.9
1945,50.76
1946,35.61
1947,29.21
1948,50.2
1949,35.75
1950,34.3
1951,35.03
1952,41.46
1953,30.02
1954,36.26
1955,34.0
1956,42.08
1957,51.89
1958,48.18
1959,43.75
1960,41.9
1961,44.13
1962,53.13
1963,37.68
1964,51.07
1965,45.72
1966,25.06
1967,29.79
1968,26.88
1969,21.69
1970,15.3
1971,12.48
1972,15.31
1973,31.15
1974,30.1
1975,26.6
1976,33.08
1977,36.6
1978,48.33
1979,47.65
1980,48.92
1981,52.74
1982,29.36
1983,28.08
1984,54.59
1985,48.06
1986,53.61
1987,46.55
1988,51.67
1989,67.63
1990,56.73
1991,55.98
1992,65.74
1993,46.3
1994,43.2
1995,28.82
1996,40.2
1997,34.46
1998,26.52
1999,34.47
2000,34.41
2001,21.3
2002,31.84
2003,44.14
2004,49.96
2005,46.73
2006,43.52
2007,49.73
2008,50.26
2009,55.05
2010,70.22
2011,69.06
2012,58.14
2013,58.3
2014,47.69
2015,69.06
2016,57.4
2017,62.2
2018,66.43
2019,57.35
2020,44.23
2021,43.15
2022,36.67
2023,47.68
2024,43.54
2025,56.0
2026,54.92
2027,60.13
2028,66.06
2029,56.04
2030,65.92
2031,61.25
2032,49.61
2033,49.21
2034,32.3
2035,6.98
2036,13.26
2037,7.65
2038,27.54
2039,24.96
2040,28.32
2041,35.97
2042,39.61
2043,61.01
2044,51.01
2045,42.92
2046,55.36
2047,47.84
2048,51.89
2049,57.02
2050,63.12
2051,59.52
2052,34.22
2053,45.18
2054,56.47
2055,49.46
2056,33.45
2057,32.46
2058,26.98
2059,7.38
2060,6.2
2061,26.27
2062,22.11
2063,18.13
2064,17.82
2065,18.63
2066,17.27
2067,27.32
2068,25.3
2069,30.43
2070,15.46
2071,36.38
2072,40.28
2073,54.92
2074,67.1
2075,74.68
2076,75.13
2077,90.86
2078,83.62
2079,91.42
2080,90.58
2081,80.97
2082,76.33
2083,78.84
2084,72.38
2085,51.94
2086,49.72
2087,59.03
2088,64.44
2089,58.5
2090,60.15
2091,51.99
2092,48.23
2093,61.93
2094,78.41
2095,68.06
2096,66.39
2097,62.21
2098,62.3
2099,50.96
2100,63.11
2101,55.53
2102,48.34
2103,54.84
2104,56.6
2105,51.33
2106,52.98
2107,51.33
2108,72.87
2109,75.94
2110,84.64
2111,84.95
2112,72.38
2113,84.52
2114,76.2
2115,70.03
2116,56.64
2117,55.97
2118,39.35
2119,51.51
2120,44.77
2121,46.46
2122,30.54
2123,35.09
2124,50.98
2125,53.75
2126,57.38
2127,65.7
2128,64.75
2129,66.14
2130,63.71
2131,72.85
2132,75.34
2133,67.14
2134,82.64
2135,79.34
2136,74.49
2137,59.35
2138,30.41
2139,29.95
2140,14.04
2141,27.59
2142,39.02
2143,22.96
2144,23.57
2145,28.28
